CBSA_Code,CBSA_Title,Index,Group
12060,"Atlanta-Sandy Springs-Roswell, GA",59,2
12420,"Austin-Round Rock, TX",52,2
12580,"Baltimore-Columbia-Towson, MD",65,3
13820,"Birmingham-Hoover, AL",65,3
14460,"Boston-Cambridge-Newton, MA-NH",66,3
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",73,4
16740,"Charlotte-Concord-Gastonia, NC-SC",54,2
16980,"Chicago-Naperville-Elgin, IL-IN-WI",76,4
17140,"Cincinnati, OH-KY-IN",68,3
17460,"Cleveland-Elyria, OH",74,4
18140,"Columbus, OH",64,3
19100,"Dallas-Fort Worth-Arlington, TX",58,2
19740,"Denver-Aurora-Lakewood, CO",64,3
19820,"Detroit-Warren-Dearborn, MI",75,4
24340,"Grand Rapids-Wyoming, MI",66,3
25540,"Hartford-West Hartford-East Hartford, CT",66,3
26420,"Houston-The Woodlands-Sugar Land, TX",62,3
26900,"Indianapolis-Carmel-Anderson, IN",65,3
27260,"Jacksonville, FL",53,2
28140,"Kansas City, MO-KS",60,3
29820,"Las Vegas-Henderson-Paradise, NV",40,1
31080,"Los Angeles-Long Beach-Anaheim, CA",68,3
31140,"Louisville/Jefferson County, KY-IN",59,2
32820,"Memphis, TN-MS-AR",62,3
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",65,3
33340,"Milwaukee-Waukesha-West Allis, WI",81,4
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",56,2
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",55,2
35380,"New Orleans-Metairie, LA",65,3
35620,"New York-Newark-Jersey City, NY-NJ-PA",77,4
36420,"Oklahoma City, OK",53,2
36740,"Orlando-Kissimmee-Sanford, FL",50,2
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",68,3
38060,"Phoenix-Mesa-Scottsdale, AZ",49,1
38300,"Pittsburgh, PA",66,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",51,2
39300,"Providence-Warwick, RI-MA",57,2
39580,"Raleigh, NC",42,1
40060,"Richmond, VA",53,2
40140,"Riverside-San Bernardino-Ontario, CA",47,1
40380,"Rochester, NY",65,3
40900,"Sacramento--Roseville--Arden-Arcade, CA",58,2
41180,"St. Louis, MO-IL",71,4
41700,"San Antonio-New Braunfels, TX",50,2
41740,"San Diego-Carlsbad, CA",53,2
41860,"San Francisco-Oakland-Hayward, CA",62,3
41940,"San Jose-Sunnyvale-Santa Clara, CA",46,1
42660,"Seattle-Tacoma-Bellevue, WA",52,2
45300,"Tampa-St. Petersburg-Clearwater, FL",56,2
46060,"Tucson, AZ",44,1
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",47,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",62,3
